"logFC" "logCPM" "LR" "PValue" "FDR" "gene_name" "gene_type"
"ENSG00000077935" 3.76998523556868 3.50815649536684 66.0545141328313 4.38622141931558e-16 1.32026719521206e-14 "SMC1B" "protein_coding"
"ENSG00000078018" 1.54818727532054 7.60401152794548 37.4218603654818 9.51496449651801e-10 1.11925705180849e-08 "MAP2" "protein_coding"
"ENSG00000078098" 2.48366047957923 4.39627805381362 48.361931036541 3.54381494613133e-12 6.02830489032396e-11 "FAP" "protein_coding"
"ENSG00000078399" 3.43567173055399 -0.812667222610711 16.0805338571038 6.07048383050651e-05 0.000294565744594595 "HOXA9" "protein_coding"
"ENSG00000078814" 2.29570412713112 3.61086655996961 30.7563196221292 2.92549524252016e-08 2.72164025624614e-07 "MYH7B" "protein_coding"
"ENSG00000078900" 3.85181263874712 2.33044271893532 98.3492151355319 3.50739798750406e-23 2.43911981502653e-21 "TP73" "protein_coding"
"ENSG00000079101" 2.44906988886952 0.144830684102279 22.7641816723517 1.8314757450267e-06 1.21321899671923e-05 "CLUL1" "protein_coding"
"ENSG00000079393" 5.53449946851697 0.277239992030902 25.4551904673043 4.52777848201891e-07 3.38543535892417e-06 "DUSP13" "protein_coding"
"ENSG00000080511" 5.12757027559497 -0.0128283829802494 23.5643411535557 1.2080565371393e-06 8.27115434830137e-06 "RDH8" "protein_coding"
"ENSG00000080644" 4.72407427735839 1.95912259390605 25.2970243759002 4.9146634409616e-07 3.65588519611367e-06 "CHRNA3" "protein_coding"
"ENSG00000080709" -3.45206294624776 5.15846148063847 188.570481150083 6.52184053158675e-43 2.49209824354874e-40 "KCNN2" "protein_coding"
"ENSG00000080986" 3.48784588102234 6.35753187924099 224.923032035759 7.63128038640719e-51 7.69508636963799e-48 "NDC80" "protein_coding"
"ENSG00000081248" 3.34915208657271 0.08739998507972 29.9691161767038 4.38982685435011e-08 3.97196173080167e-07 "CACNA1S" "protein_coding"
"ENSG00000082126" 2.18989268917137 -0.903989777545138 13.5732095579714 0.000229436732037375 0.000978038972587789 "MPP4" "protein_coding"
"ENSG00000082497" 2.00703904752494 3.35221566092379 24.1718814786009 8.81093506782833e-07 6.22510225568774e-06 "SERTAD4" "protein_coding"
"ENSG00000082684" 2.25736325762597 4.96983231724619 129.747508512649 4.65363155163237e-30 6.16538244364258e-28 "SEMA5B" "protein_coding"
"ENSG00000085741" -1.71003895083229 2.98778181571672 40.5032170702715 1.96292583113877e-10 2.57614499624615e-09 "WNT11" "protein_coding"
"ENSG00000085831" 3.07628005678269 6.34501971594129 86.3631682748496 1.49748073548856e-20 7.63483822738343e-19 "TTC39A" "protein_coding"
"ENSG00000085840" 2.78359680688405 5.36643539668047 145.178928504976 1.96265018570967e-33 3.47542265324131e-31 "ORC1" "protein_coding"
"ENSG00000085999" 3.31687995144456 3.40894416380203 127.551642190669 1.40691963401055e-29 1.81752988022124e-27 "RAD54L" "protein_coding"
"ENSG00000086159" 3.19886727105912 2.72800510519297 12.2635096496293 0.000461901965391122 0.00182362430426181 "AQP6" "protein_coding"
"ENSG00000086717" 2.60202740595917 1.02138110536603 40.2579982776389 2.22542372007274e-10 2.89241340717367e-09 "PPEF1" "protein_coding"
"ENSG00000087237" -2.78310328187057 6.25438338993437 255.832716028964 1.38967196178337e-57 2.65507799393148e-54 "CETP" "protein_coding"
"ENSG00000087250" 6.52196587098181 1.40493952614861 30.5560401436755 3.24360462814061e-08 2.99303740737499e-07 "MT3" "protein_coding"
"ENSG00000087258" -2.17899620143588 6.60208144655547 76.1930629702704 2.5724381971402e-18 9.75779299836849e-17 "GNAO1" "protein_coding"
"ENSG00000087495" -2.46068118760698 1.35714548371255 50.4357020902757 1.23133641042032e-12 2.26322749542623e-11 "PHACTR3" "protein_coding"
"ENSG00000088053" -1.64956721008411 0.23034455273587 29.8738544493455 4.61088824474529e-08 4.15231590604066e-07 "GP6" "protein_coding"
"ENSG00000088305" 1.61744560139934 4.28505273182436 79.5910722303872 4.60501659653668e-19 1.90178279261522e-17 "DNMT3B" "protein_coding"
"ENSG00000088340" 2.98713318699753 4.42493268813771 60.445434855993 7.56465995512497e-15 1.8951326503174e-13 "FER1L4" "transcribed_unitary_pseudogene"
"ENSG00000088538" 2.7632150940877 1.99106131590596 69.9700953837374 6.02103784386152e-17 1.97265067481965e-15 "DOCK3" "protein_coding"
"ENSG00000088726" 2.12999330179341 1.96955992196198 18.1804792033866 2.00927778158071e-05 0.00010855602433273 "TMEM40" "protein_coding"
"ENSG00000088836" 3.00871907346535 1.46438013837019 42.8259637033952 5.98327462074801e-11 8.55787438958919e-10 "SLC4A11" "protein_coding"
"ENSG00000088882" 2.43231103466565 2.24840302581158 57.7013625455063 3.05091405373134e-14 7.09943788875009e-13 "CPXM1" "protein_coding"
"ENSG00000089101" 3.45544611282385 0.921544395527724 27.0440760861284 1.98868738513837e-07 1.59503625205276e-06 "CFAP61" "protein_coding"
"ENSG00000089356" 3.66452230936379 -0.0799036390838418 16.6880283783171 4.40581544693097e-05 0.000220905395772156 "FXYD3" "protein_coding"
"ENSG00000089558" 2.50675258589821 1.75241645435537 52.3013472565349 4.76047756152565e-13 9.25103504119726e-12 "KCNH4" "protein_coding"
"ENSG00000089723" 1.58921218988213 3.96382292913201 84.3663811776792 4.11078755943348e-20 1.97127740019808e-18 "OTUB2" "protein_coding"
"ENSG00000090889" 3.92744428753271 6.83629807610989 206.026353881221 1.01121009163137e-46 6.11798958938504e-44 "KIF4A" "protein_coding"
